Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Action.c(352): Found resource "http://localhost/banking/css/ebanking_reg_form.css" in HTML "http://localhost/banking/ebanking_reg_form.php"  	[MsgId: MMSG-26659]
Action.c(352): Resource "http://localhost/banking/css/header.css" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(352): Resource "http://localhost/banking/img/chase.jpg" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(352): Resource "http://localhost/banking/css/footer.css" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(352): web_url("Register") was successful, 5472 body bytes, 565 header bytes  	[MsgId: MMSG-26386]
Action.c(362): Notify: Transaction "TR08_Register" ended with a "Pass" status (Duration: 0.0033).	[MsgId: MMSG-16873]
Action.c(364): lr_think_time: 258.00 seconds.	[MsgId: MMSG-15948]
Action.c(366): Error: Cannot start transaction "TR08_FillForm". This Vuser already started a transaction with the same name, and has not yet processed the corresponding lr_end_transaction statement.	[MsgId: MERR-16993]
End auto log messages stack.	[MsgId: MMSG-10544]


